Location,Level
12,1
19,1
40,1
53,1
60,1
89,1
90,1
91,1
112,1
114,1
124,1
134,1
136,1
137,1
152,1
170,1
176,1
197,1
199,1
221,1
231,1
234,1
238,1
253,1
260,1
267,1
289,1
290,1
306,1
311,1
343,1
346,1
382,1
386,1
414,1
423,1
426,1
442,1
447,1
459,1
484,1
492,1
501,1
512,1
513,1
572,1
600,1
663,1
690,1
698,1
703,1
704,1
736,1
745,1
748,1
790,1
803,1
842,1
851,1
858,1
874,1
876,1
933,1
939,1
942,1
944,1
27,2
161,2
257,2
258,2
360,2
376,2
381,2
395,2
504,2
549,2
564,2
692,2
730,2
830,2
7,3
361,3
424,3
775,3
952,3
21,4
938,4
